canonical_id,canonical_name,normalized_name,pff_player_id,cfbd_id,combine_normalized_player,combine_cfb_player_id,combine_pfr_player_id,combine_gsis_id,colleges,college_seasons,college_seasons_count,draft_season,in_pff,in_combine,in_cfbd
austin-wilson-syracuse-2015,Austin Wilson,austin wilson,38034.0,545284,,,,,Syracuse,Syracuse:2014;Syracuse:2015,2,2016,True,False,True
aaron-lagrone-arkansas-pine-bluff-2014,Aaron Lagrone,aaron lagrone,38046.0,,,,,,Arkansas-Pine Bluff,Arkansas-Pine Bluff:2014,1,2015,True,False,False
josh-greer-north-texas-2015,Josh Greer,josh greer,38105.0,3122972,,,,,North Texas,North Texas:2014;North Texas:2015,2,2016,True,False,True
neal-burcham-smu-2014,Neal Burcham,neal burcham,38131.0,536139,,,,,SMU,SMU:2014,1,2015,True,False,True
lenorris-footman-alcorn-state-2015,Lenorris Footman,lenorris footman,38162.0,547796,,,,,Alcorn State,Alcorn State:2015,1,2016,True,False,True
dillon-buechel-duquesne-2014,Dillon Buechel,dillon buechel,38168.0,535022,,,,,Duquesne,Duquesne:2014,1,2015,True,False,True
tedarrius-wiley-south-carolina-state-2014,TeDarrius Wiley,tedarrius wiley,38192.0,507125,,,,,South Carolina State,South Carolina State:2014,1,2015,True,False,True
hunter-vaughn-south-alabama-2014,Hunter Vaughn,hunter vaughn,38201.0,3125255,,,,,South Alabama,South Alabama:2014,1,2015,True,False,True
ford-childress-fresno-state-2015,Ford Childress,ford childress,38253.0,534491,,,,,Fresno State,Fresno State:2015,1,2016,True,False,True
stephen-johnson-grambling-2014,Stephen Johnson,steven johnson,38260.0,557882,,,,,Grambling,Grambling:2014,1,2015,True,False,True
james-tabary-arkansas-state-2015,James Tabary,james tabary,38262.0,3123719,,,,,Arkansas State,Arkansas State:2015,1,2016,True,False,True
will-grier-florida-2015,Will Grier,william grier,38265.0,559556,willgrier,will-grier-1,GrieWi00,00-0035251,Florida;West Virginia,Florida:2015,1,2019,True,True,True
